ID,Title,"EFI Areas","Areas of Expertise","UoE Schools",Sectors
50223,"Ileana L. Selejan","Research Clusters>Media and Communications","Political Communications","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
50226,"Frauke Zeller","Research Clusters>Media and Communications","Data|Journalism|Social Media","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
50229,"John Kelly","Research Clusters>Media and Communications","Political Communications","College of Arts, Humanities &amp; Social Sciences>Moray House School of Education and Sport",
50232,"Will Page ","Engagement &amp; Innovation>EFI Associate",,,"Creative Industries|Data &amp; AI ethics"
50244,"Alan Fowler","Engagement &amp; Innovation>EFI Associate",,,"Financial Services &amp; FinTech|Public Services"
50247,"Morgan Walker","Engagement &amp; Innovation>EFI Associate",,,"Climate &amp; Sustainability|Creative Industries|Public Services|Tourism &amp; Festivals|Wellbeing economy"
50251,"Chris Chapman","Engagement &amp; Innovation>EFI Associate",,,"Climate &amp; Sustainability|Creative Industries"
50254,"Clair Thomson ","Engagement &amp; Innovation>EFI Associate|Centres, Hubs, Projects &amp; Networks>Prevention Hub",,,"Public Services"
50257,"Giulia Ajmone Marsan","Engagement &amp; Innovation>EFI Associate",,,"Climate &amp; Sustainability|Creative Industries|Data &amp; AI ethics|Financial Services &amp; FinTech|Wellbeing economy"
50530,"James Garforth","Research Clusters>Critical Data Studies",,"College of Science &amp; Engineering>School of Informatics",
50533,"Kristin Mojsiewicz","Research Clusters>Digital Cultural Heritage",,"College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
50536,"Arkotong Longkumer","Research Clusters>Digital Cultural Heritage","Digital documentation|Digital engagement, learning and participation|Geospatial data and heritage|Tourism and heritage|Working with digital archives and collections","College of Arts, Humanities &amp; Social Sciences>School of Divinity",
50539,"Gaurav Rajkhowa","Research Clusters>Digital Cultural Heritage","Digital documentation|Digital engagement, learning and participation|Tourism and heritage|Working with digital archives and collections","College of Arts, Humanities &amp; Social Sciences>School of Divinity",
50547,"Nicola Osborne","Research Clusters>Creativity, AI and the Human|Research Clusters>Media and Communications","AI ethics, responsibility, and governance|AI in creative domains|Data|Human-centred and social dimensions of AI|Screen Studies|Social Media|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
50635,"Emanuela Patti","Research Clusters>Creativity, AI and the Human|Research Clusters>Media and Communications","AI in creative domains|Digital Design|Human-centred and social dimensions of AI|Screen Studies|Social Media|Theories and practices of creativity","College of Arts, Humanities &amp; Social Sciences>School of Literatures, Languages and Cultures",
50639,"Peaks Krafft","Research Clusters>Critical Data Studies",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
50650,"Emma Caldwell","Centres, Hubs, Projects &amp; Networks>Centre for Technomoral Futures",,,
50656,"Calum Main","Research Clusters>Creativity, AI and the Human","AI in creative domains","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
